#reverse_pos	count	cdf
446	27	0.787499
447	21	0.787598
448	28	0.787731
449	21	0.78783
450	28	0.787962
451	20	0.788057
452	17	0.788137
453	21	0.788236
454	16	0.788312
455	29	0.788449
456	22	0.788553
457	20	0.788647
458	32	0.788799
459	32	0.78895
460	22	0.789054
461	26	0.789177
462	26	0.7893
463	31	0.789446
464	24	0.789559
465	27	0.789687
466	23	0.789796
467	22	0.7899
468	29	0.790037
469	35	0.790202
470	33	0.790358
471	24	0.790472
472	22	0.790575
473	23	0.790684
474	29	0.790821
475	20	0.790916
476	24	0.791029
477	26	0.791152
478	31	0.791298
479	21	0.791398
480	18	0.791483
481	16	0.791558
482	17	0.791639
483	30	0.79178
484	27	0.791908
485	22	0.792012
486	19	0.792102
487	14	0.792168
488	16	0.792244
489	26	0.792366
490	23	0.792475
491	22	0.792579
492	23	0.792688
493	20	0.792782
494	18	0.792867
495	31	0.793014
496	28	0.793146
497	18	0.793231
498	22	0.793335
499	22	0.793439
500	22	0.793543
501	18	0.793628
502	25	0.793746
503	24	0.79386
504	24	0.793973
505	34	0.794134
506	24	0.794247
507	29	0.794384
508	20	0.794479
509	22	0.794583
510	32	0.794734
511	29	0.794871
512	26	0.794994
513	24	0.795107
514	18	0.795192
515	26	0.795315
516	27	0.795443
517	25	0.795561
518	27	0.795688
519	28	0.795821
520	31	0.795967
521	21	0.796066
522	30	0.796208
523	25	0.796326
524	26	0.796449
525	26	0.796572
526	14	0.796638
527	23	0.796747
528	27	0.796875
529	23	0.796983
530	23	0.797092
531	34	0.797253
532	20	0.797347
533	28	0.797479
534	20	0.797574
535	23	0.797683
536	24	0.797796
537	20	0.797891
538	27	0.798018
539	18	0.798103
540	19	0.798193
541	28	0.798325
542	22	0.798429
543	16	0.798505
544	18	0.79859
545	35	0.798755
546	22	0.798859
547	21	0.798959
548	16	0.799034
549	16	0.79911
550	20	0.799204
551	16	0.79928
552	24	0.799393
553	15	0.799464
554	17	0.799544
555	21	0.799644
556	25	0.799762
557	27	0.799889
558	32	0.800041
559	27	0.800168
560	20	0.800263
561	20	0.800357
562	29	0.800494
563	26	0.800617
564	18	0.800702
565	30	0.800844
566	25	0.800962
567	40	0.801151
568	87	0.801562
