#distance	count	cdf
580	17	0.728282
581	14	0.728363
582	9	0.728416
583	19	0.728526
584	21	0.728648
585	20	0.728764
586	16	0.728857
587	11	0.72892
588	14	0.729002
589	13	0.729077
590	17	0.729176
591	21	0.729298
592	19	0.729408
593	21	0.72953
594	20	0.729646
595	14	0.729727
596	20	0.729843
597	16	0.729936
598	16	0.730029
599	18	0.730133
600	10	0.730191
601	12	0.730261
602	14	0.730342
603	8	0.730388
604	16	0.730481
605	23	0.730615
606	16	0.730707
607	17	0.730806
608	14	0.730887
609	18	0.730992
610	13	0.731067
611	15	0.731154
612	12	0.731224
613	19	0.731334
614	13	0.731409
615	13	0.731485
616	13	0.73156
617	20	0.731676
618	17	0.731775
619	16	0.731868
620	11	0.731932
621	20	0.732048
622	9	0.7321
623	22	0.732228
624	15	0.732315
625	22	0.732442
626	9	0.732494
627	16	0.732587
628	20	0.732703
629	14	0.732784
630	19	0.732895
631	13	0.73297
632	17	0.733069
633	19	0.733179
634	17	0.733278
635	20	0.733394
636	21	0.733516
637	18	0.73362
638	10	0.733678
639	12	0.733748
640	6	0.733782
641	12	0.733852
642	24	0.733991
643	24	0.734131
644	13	0.734206
645	14	0.734287
646	13	0.734363
647	12	0.734432
648	16	0.734525
649	12	0.734595
650	20	0.734711
651	16	0.734804
652	21	0.734925
653	15	0.735012
654	22	0.73514
655	9	0.735192
656	8	0.735239
657	20	0.735355
658	14	0.735436
659	20	0.735552
660	9	0.735604
661	16	0.735697
662	13	0.735772
663	24	0.735912
664	10	0.73597
665	20	0.736086
666	12	0.736155
667	14	0.736237
668	18	0.736341
669	9	0.736393
670	13	0.736469
671	13	0.736544
672	15	0.736631
673	17	0.73673
674	10	0.736788
675	12	0.736857
676	12	0.736927
677	17	0.737026
678	15	0.737113
679	11	0.737176
680	22	0.737304
681	12	0.737374
682	11	0.737438
683	14	0.737519
684	23	0.737652
685	16	0.737745
686	11	0.737809
687	17	0.737908
688	14	0.737989
689	12	0.738058
690	18	0.738163
691	22	0.73829
692	19	0.738401
693	15	0.738488
694	12	0.738557
695	18	0.738662
696	14	0.738743
697	8	0.738789
698	13	0.738865
699	14	0.738946
700	12	0.739016
701	17	0.739114
702	16	0.739207
703	11	0.739271
704	12	0.739341
705	13	0.739416
706	19	0.739526
707	13	0.739602
708	21	0.739723
709	17	0.739822
710	21	0.739944
711	18	0.740048
712	18	0.740153
713	17	0.740251
714	6	0.740286
715	10	0.740344
716	12	0.740414
717	19	0.740524
718	13	0.7406
719	15	0.740687
720	9	0.740739
721	17	0.740837
722	13	0.740913
723	14	0.740994
724	16	0.741087
725	15	0.741174
726	17	0.741273
727	15	0.74136
728	5	0.741389
729	14	0.74147
730	11	0.741534
731	11	0.741597
732	17	0.741696
733	17	0.741795
734	10	0.741853
735	9	0.741905
736	11	0.741969
737	13	0.742044
738	16	0.742137
739	8	0.742183
740	10	0.742241
741	12	0.742311
742	11	0.742375
743	9	0.742427
744	10	0.742485
745	10	0.742543
746	15	0.74263
747	9	0.742682
748	8	0.742729
749	16	0.742822
750	11	0.742885
751	15	0.742973
752	10	0.743031
753	10	0.743089
754	13	0.743164
755	14	0.743245
756	18	0.74335
757	9	0.743402
758	18	0.743506
759	11	0.74357
760	10	0.743628
761	14	0.743709
762	5	0.743738
763	9	0.743791
764	17	0.743889
765	15	0.743976
766	16	0.744069
767	15	0.744156
768	9	0.744208
769	7	0.744249
770	10	0.744307
771	10	0.744365
772	14	0.744446
773	13	0.744522
774	13	0.744597
775	13	0.744672
776	12	0.744742
777	11	0.744806
778	10	0.744864
779	11	0.744928
780	17	0.745026
781	12	0.745096
782	10	0.745154
783	13	0.745229
784	7	0.74527
785	22	0.745398
786	15	0.745485
787	14	0.745566
788	13	0.745641
789	12	0.745711
790	12	0.745781
791	10	0.745839
792	7	0.745879
793	12	0.745949
794	11	0.746013
795	7	0.746053
796	16	0.746146
797	9	0.746198
798	17	0.746297
799	8	0.746343
800	10	0.746401
801	13	0.746477
802	13	0.746552
803	21	0.746674
804	8	0.746721
805	7	0.746761
806	6	0.746796
807	17	0.746895
808	16	0.746987
809	14	0.747069
810	10	0.747127
811	12	0.747196
812	17	0.747295
813	13	0.74737
814	11	0.747434
815	22	0.747562
816	13	0.747637
817	20	0.747753
818	20	0.747869
819	7	0.74791
820	19	0.74802
821	20	0.748136
822	14	0.748217
823	11	0.748281
824	10	0.748339
825	14	0.74842
826	11	0.748484
827	16	0.748577
828	8	0.748624
829	12	0.748693
830	8	0.74874
831	12	0.748809
832	10	0.748867
833	8	0.748914
834	7	0.748954
835	11	0.749018
836	14	0.749099
837	11	0.749163
838	11	0.749227
839	14	0.749308
840	16	0.749401
841	9	0.749453
842	14	0.749534
843	11	0.749598
844	9	0.74965
845	11	0.749714
846	12	0.749784
847	9	0.749836
848	11	0.7499
849	10	0.749958
850	18	0.750062
851	10	0.75012
852	14	0.750202
853	12	0.750271
854	15	0.750358
855	8	0.750405
856	13	0.75048
857	7	0.750521
858	15	0.750608
859	14	0.750689
860	10	0.750747
861	7	0.750788
862	13	0.750863
863	12	0.750933
864	21	0.751054
865	8	0.751101
866	16	0.751194
867	15	0.751281
868	11	0.751345
869	11	0.751408
870	10	0.751466
871	17	0.751565
872	16	0.751658
873	13	0.751733
874	14	0.751815
875	10	0.751873
876	15	0.75196
877	12	0.752029
878	9	0.752081
879	13	0.752157
880	10	0.752215
881	12	0.752284
882	16	0.752377
883	20	0.752493
884	4	0.752517
885	12	0.752586
886	12	0.752656
887	12	0.752725
888	14	0.752807
889	21	0.752928
890	14	0.75301
891	22	0.753137
892	7	0.753178
893	7	0.753219
894	7	0.753259
895	10	0.753317
896	15	0.753404
897	6	0.753439
898	13	0.753514
899	13	0.75359
900	9	0.753642
901	10	0.7537
902	18	0.753805
903	12	0.753874
904	13	0.75395
905	10	0.754008
