#distance	count	cdf
629	5	0.0477454
630	8	0.0477572
631	6	0.047766
632	2	0.047769
633	8	0.0477808
634	3	0.0477852
635	10	0.0477999
636	5	0.0478073
637	2	0.0478102
638	3	0.0478146
639	1	0.0478161
640	6	0.0478249
641	6	0.0478338
642	4	0.0478397
643	4	0.0478456
644	4	0.0478515
645	3	0.0478559
646	9	0.0478691
647	3	0.0478735
648	2	0.0478765
649	9	0.0478897
650	4	0.0478956
651	4	0.0479015
652	4	0.0479074
653	7	0.0479177
654	2	0.0479207
655	5	0.047928
656	5	0.0479354
657	13	0.0479545
658	3	0.047959
659	4	0.0479649
660	4	0.0479707
661	5	0.0479781
662	4	0.047984
663	8	0.0479958
664	4	0.0480017
665	2	0.0480046
666	6	0.0480135
667	4	0.0480193
668	2	0.0480223
669	5	0.0480297
670	2	0.0480326
671	4	0.0480385
672	5	0.0480459
673	6	0.0480547
674	5	0.0480621
675	6	0.0480709
676	7	0.0480812
677	5	0.0480886
678	4	0.0480945
679	10	0.0481092
680	6	0.048118
681	1	0.0481195
682	4	0.0481254
683	2	0.0481283
684	6	0.0481372
685	6	0.048146
686	1	0.0481475
687	7	0.0481578
688	4	0.0481637
689	3	0.0481681
690	3	0.0481725
691	3	0.0481769
692	1	0.0481784
693	3	0.0481828
694	6	0.0481917
695	7	0.048202
696	4	0.0482079
697	3	0.0482123
698	5	0.0482196
699	2	0.0482226
700	3	0.048227
701	3	0.0482314
702	2	0.0482344
704	4	0.0482403
705	2	0.0482432
706	4	0.0482491
707	2	0.048252
708	4	0.0482579
709	2	0.0482609
710	5	0.0482682
711	2	0.0482712
712	4	0.0482771
713	3	0.0482815
714	2	0.0482844
715	3	0.0482889
716	4	0.0482947
717	7	0.0483051
718	3	0.0483095
719	2	0.0483124
720	4	0.0483183
721	4	0.0483242
722	5	0.0483316
723	4	0.0483375
724	5	0.0483448
725	1	0.0483463
726	1	0.0483478
727	7	0.0483581
729	1	0.0483595
730	4	0.0483654
731	2	0.0483684
732	2	0.0483713
733	6	0.0483802
734	3	0.0483846
735	3	0.048389
736	3	0.0483934
737	5	0.0484008
738	2	0.0484037
739	2	0.0484067
740	3	0.0484111
741	1	0.0484126
742	4	0.0484185
743	2	0.0484214
744	6	0.0484302
745	3	0.0484347
746	6	0.0484435
747	5	0.0484509
748	3	0.0484553
749	3	0.0484597
750	3	0.0484641
751	5	0.0484715
752	3	0.0484759
753	6	0.0484847
754	3	0.0484891
755	4	0.048495
756	3	0.0484995
757	2	0.0485024
758	1	0.0485039
759	5	0.0485112
760	5	0.0485186
761	5	0.048526
762	3	0.0485304
763	2	0.0485333
764	4	0.0485392
765	6	0.0485481
767	3	0.0485525
768	4	0.0485584
769	1	0.0485598
770	1	0.0485613
771	4	0.0485672
772	4	0.0485731
773	4	0.048579
774	7	0.0485893
775	1	0.0485908
776	2	0.0485937
777	1	0.0485952
778	3	0.0485996
779	3	0.048604
780	1	0.0486055
781	5	0.0486128
782	8	0.0486246
783	5	0.048632
784	5	0.0486394
785	5	0.0486467
786	2	0.0486497
787	3	0.0486541
788	4	0.04866
789	4	0.0486659
790	3	0.0486703
791	7	0.0486806
792	3	0.048685
793	3	0.0486894
794	1	0.0486909
795	4	0.0486968
796	6	0.0487056
797	3	0.04871
798	1	0.0487115
799	3	0.0487159
800	6	0.0487248
801	3	0.0487292
802	4	0.0487351
803	1	0.0487366
804	3	0.048741
805	2	0.0487439
806	6	0.0487528
807	4	0.0487586
808	2	0.0487616
809	3	0.048766
810	4	0.0487719
811	3	0.0487763
812	4	0.0487822
814	5	0.0487896
815	1	0.048791
816	6	0.0487999
817	4	0.0488058
818	4	0.0488117
819	2	0.0488146
820	2	0.0488176
821	3	0.048822
823	5	0.0488293
824	4	0.0488352
825	4	0.0488411
826	4	0.048847
827	5	0.0488544
828	3	0.0488588
829	1	0.0488603
830	1	0.0488617
831	2	0.0488647
832	3	0.0488691
833	8	0.0488809
834	6	0.0488897
835	2	0.0488927
836	3	0.0488971
837	4	0.048903
838	3	0.0489074
839	1	0.0489089
840	2	0.0489118
841	1	0.0489133
842	1	0.0489148
843	4	0.0489206
844	2	0.0489236
845	4	0.0489295
846	2	0.0489324
848	2	0.0489354
849	5	0.0489427
850	2	0.0489457
851	5	0.048953
852	1	0.0489545
853	8	0.0489663
854	1	0.0489678
855	1	0.0489692
856	1	0.0489707
857	1	0.0489722
859	2	0.0489751
860	2	0.0489781
861	4	0.048984
863	2	0.0489869
864	4	0.0489928
865	3	0.0489972
866	3	0.0490016
868	1	0.0490031
869	3	0.0490075
870	5	0.0490149
871	1	0.0490164
872	3	0.0490208
873	6	0.0490296
874	1	0.0490311
875	3	0.0490355
876	1	0.049037
877	4	0.0490429
878	4	0.0490488
879	6	0.0490576
880	1	0.0490591
881	5	0.0490664
882	2	0.0490694
883	1	0.0490709
884	4	0.0490768
886	3	0.0490812
887	6	0.04909
889	1	0.0490915
890	3	0.0490959
891	4	0.0491018
892	3	0.0491062
893	3	0.0491106
895	4	0.0491165
896	3	0.0491209
897	2	0.0491239
898	2	0.0491268
899	5	0.0491342
900	1	0.0491357
901	2	0.0491386
902	2	0.0491416
903	2	0.0491445
904	1	0.049146
905	4	0.0491519
907	3	0.0491563
908	2	0.0491592
909	1	0.0491607
910	2	0.0491636
911	5	0.049171
912	1	0.0491725
913	3	0.0491769
914	1	0.0491784
915	1	0.0491798
916	4	0.0491857
917	3	0.0491902
918	1	0.0491916
919	3	0.049196
920	3	0.0492005
921	2	0.0492034
923	4	0.0492093
924	1	0.0492108
926	4	0.0492167
927	3	0.0492211
928	7	0.0492314
929	1	0.0492329
930	2	0.0492358
931	2	0.0492388
932	3	0.0492432
933	1	0.0492446
934	2	0.0492476
935	2	0.0492505
936	4	0.0492564
937	4	0.0492623
938	1	0.0492638
939	8	0.0492756
940	1	0.049277
941	3	0.0492815
942	4	0.0492874
943	1	0.0492888
944	3	0.0492932
945	3	0.0492977
946	4	0.0493036
947	2	0.0493065
948	1	0.049308
949	2	0.0493109
950	3	0.0493153
951	1	0.0493168
952	1	0.0493183
953	3	0.0493227
954	1	0.0493242
955	3	0.0493286
956	2	0.0493315
957	3	0.049336
959	7	0.0493463
960	2	0.0493492
961	2	0.0493522
962	2	0.0493551
963	3	0.0493595
964	3	0.0493639
965	4	0.0493698
966	3	0.0493742
967	2	0.0493772
968	2	0.0493801
969	1	0.0493816
970	2	0.0493846
971	1	0.049386
972	2	0.049389
973	1	0.0493904
974	3	0.0493949
975	2	0.0493978
976	1	0.0493993
977	5	0.0494066
978	2	0.0494096
979	4	0.0494155
981	1	0.049417
982	2	0.0494199
984	1	0.0494214
985	5	0.0494287
986	1	0.0494302
987	2	0.0494332
988	3	0.0494376
989	2	0.0494405
990	1	0.049442
992	1	0.0494435
995	6	0.0494523
997	1	0.0494538
998	3	0.0494582
999	2	0.0494611
1000	3	0.0494656
1001	4	0.0494714
1002	6	0.0494803
1003	4	0.0494862
1004	2	0.0494891
1005	3	0.0494935
1006	2	0.0494965
1007	6	0.0495053
1008	4	0.0495112
1009	4	0.0495171
1010	2	0.04952
1011	3	0.0495245
1012	1	0.0495259
1013	4	0.0495318
1014	4	0.0495377
1015	2	0.0495407
1016	4	0.0495466
1018	3	0.049551
1019	4	0.0495569
1020	2	0.0495598
1021	3	0.0495642
1022	6	0.0495731
1023	4	0.049579
1025	2	0.0495819
1026	5	0.0495893
1027	4	0.0495952
1028	3	0.0495996
1029	5	0.0496069
1030	2	0.0496099
1031	3	0.0496143
1032	2	0.0496172
1034	2	0.0496202
1035	3	0.0496246
1036	5	0.049632
1037	3	0.0496364
1038	2	0.0496393
1039	3	0.0496438
1040	4	0.0496496
1041	1	0.0496511
1042	2	0.0496541
1043	2	0.049657
1044	2	0.04966
1045	2	0.0496629
1046	7	0.0496732
1047	1	0.0496747
1048	5	0.049682
1049	2	0.049685
1050	4	0.0496909
1051	1	0.0496923
1052	2	0.0496953
1053	3	0.0496997
